,id,text,labels,predictions,p_neg,p_pos
0,15923,"#WhoIsQ #WheresTheServer #DumpNike #DECLASFISA Democrats Support Antifa, Muslim Brotherhood, MS13, ISIS, Pedophilia, Child Trafficking, Taxpayer Funded Abortion’s, Election Fraud, Sedition And Treason!!! #LockThemAllUp #WWG1WGA #QAnon ⁦@USER URL",1,0,0.16102933008910386,-0.30052503576677647
1,27014,"#ConstitutionDay is revered by Conservatives, hated by Progressives/Socialist/Democrats that want to change it.",0,0,0.502734858855327,0.18646494465322216
2,30530,"#FOXNews #NRA #MAGA #POTUS #TRUMP #2ndAmendment #RNC #USMC #veterans @USER    @USER @USER @USER @USER   #fakereporting #THESWAMP #dnc #liberals @USER @USER #fakeoutrage @USER  First, it reduces the ca URL",0,0,-0.13180679473802193,-0.5673872874418509
3,13876,#Watching #Boomer getting the news that she is still up for parole always makes me smile. #Wentworth Finale...@USER is such a treasure. URL,0,0,-0.007280886081026759,-0.3304155936505744
4,60133,#NoPasaran: Unity demo to oppose the far-right in #London – #antifa #Oct13 — Enough is Enough! URL,1,0,0.9754137888075189,0.24557886779768784
5,83681,. . . What the fuck did he do this time?,1,1,-0.048319279464441776,0.24300810789937471
6,96874,#RAP is a form of ART! Used to express yourself freely. It does not gv the green light or excuse the behavior of acting like an animal! She is not in the streets of the BX where violence is a way of living. Elevate yourself boo and get on @USER level for longevity! #QUEEN👑,0,0,0.9282189601163888,0.43992159468260106
7,65507,@USER Do you get the feeling he is kissing @USER behind so he can humiliate him later?,1,0,0.34827146110863677,0.2838315162100435
8,78910,5 Tips to Enhance Audience Connection on Facebook URL @USER #socialmedia #smm URL,0,0,0.6958506656525593,-0.33191754501574694
9,46363,#BiggBossTamil janani won the task. She is going to first final list👏👏👏👏,0,0,-0.4656604540296305,-0.4924543854650626
10,68123,#Conservatives - the party of low taxation 😂 #Tories #Tory URL,0,0,0.14192604859476388,0.0057810090001695754
11,22452,"𝓒-𝓒𝓮𝓭𝓻𝓪𝓷..  The Nord cannot make a single move, but he is fully aware of what is happening. A chill comes down his spine as a ghostly, rather. . . calm female voice called for him from a corner of the room.  Before he even has time to /attempt/ a response, +",0,0,0.46176416538713766,-0.5423334759285774
12,15565,#ConsTOO THE PLACE FOR FED UP CONSERVATIVES !!!,0,0,0.7025613343906731,-0.08919955354340343
13,64376,#GreatAwakening #QAnon #PatriotsUnited #WWG1WGA #AreYouAwake  WHEN YOU ARE AWAKE YOU SEE CLEARLY ❤️🧡💛💚  Check out this video URL URL,0,0,0.5014830745255779,-0.1427536775299844
14,12588,@USER Nigga ware da hits at,1,1,0.18220678635132004,0.5857297534843211
15,34263,#StopKavanaugh he is liar like the rest of the #GOP URL,1,1,-0.41663572691820766,0.24806010422447994
16,65773,#Dayspromo week of September 17th #days #dool  A coma does things to a gal . Sami: You are going to be ok. Hattie: No thanks to you.  Get her out of here. Before she finishes me off.  Hattie pretends to be Marlena.  The look on Kayla face is priceless. URL,0,0,-0.028630880421678825,-0.6026121861375735
17,95457,#BiggBossTelugu2 Let’s all include @USER in all our tweets...he is the business head of Star Maa network..don’t know if he knows about biggboss team and host hurting audience emotions  #BiggBossTelugu2,0,0,0.13944673921476522,0.11420704338554069
18,24930,"#Dallas#Policewoman kills neighbor in HIS own apartment? WHAT went wrong?? See:Officer who shot man in his own apartment was involved in 2017 shooting of a suspect. “She is devastated,said a Dallas police officer, adds she is ""so so sorry for his family?"" URL",0,0,-0.09472914957760652,-0.28786779694513176
19,15938,Always smack URL,0,0,0.32624156956060635,-0.12834620381990036
